Sr No,UDISE,Area,District,College Name,College Type,Choice Code,Stream,Medium,Management Type,Intake,Total Fee,SC,ST,VJA,NTB,NTC,NTD,OBC,SBC,SEBC,EWS,Management,Inhouse,General
1,27211006607,NAVI MUMBAI-URC1 (272110),THANE,"ANJUMAN-I-ISLAM'S MUSTAFA FAKIH URDU HIGH SCHOOL & JR. COLLEGE, TURBHE , Plot No.109, Sector 21, Vashi Navi Mumbai",Co-Ed,MU6439CNE,Commerce,English,Private Sanstha,80,8700,,,,,,,,,,,,,
2,27211001303,NAVI MUMBAI-URC1 (272110),THANE,"ARYA GURUKUL INTERNATIONAL JR. COLLEGE OF SCIENCE & COMERCE, AIROLI , PLOT NO-90, SECTOR-20B, AIROLI",Co-Ed,MU6387CFE,Commerce,English,Private Sanstha,480,15000,,,,,,,,,,,,,
3,27211008302,NAVI MUMBAI-URC1 (272110),THANE,"BHARATI VIDYAPEETH SEC MARATHI , Sector 03 ",Co-Ed,MU6459CGE,Commerce,English,Government,160,325,,,,,,,,,,,,,408
4,27211003607,NAVI MUMBAI-URC1 (272110),THANE,"CHRIST ACADEMY (SEC.), KOPAR KHIRANE , PLOT NO.05, SECTOR, 23, NEAR GURUDWARA, KOPARKHAIRANE, NAVIMUMBAI, THANE 400709",Co-Ed,MU6414CFE,Commerce,English,Private Sanstha,80,30500,,,,,,,,,,,,,
5,27211003506,NAVI MUMBAI-URC1 (272110),THANE,"DNYANVIKAS VID.SEC & HSEC , PLOT NO 22/23 SECTOR 17 KOPARKHAIRANE NAVI MUMBAI",Co-Ed,MU6410CPE,Commerce,English,Private Sanstha,80,6400,,,,,,,,,,,,,
6,27211003506,NAVI MUMBAI-URC1 (272110),THANE,"DNYANVIKAS VID.SEC & HSEC , PLOT NO 22/23 SECTOR 17 KOPARKHAIRANE NAVI MUMBAI",Co-Ed,MU6410CGE,Commerce,English,Private Sanstha,80,300,,,,,,,,,,,,,
7,27211008811,NAVI MUMBAI-URC1 (272110),THANE,"GAURAV HIGH SCHOOL & JR.COLLEGE, NERUL , PLOT-48, SEC-48, SEAWOODS WEST",Co-Ed,MU6469CFE,Commerce,English,Private Sanstha,80,15500,,,,,,,,,,,,,251
8,27211008003,NAVI MUMBAI-URC1 (272110),THANE,"GURUVARYA BALARAM PATIL VIDYALYA (MARATHI SECONDERY), DARAVE , SECTOR 23 DARAVE NERUL EAST BEHIND NERUL POLICE STATION",Co-Ed,MU6455CNE,Commerce,English,Private Sanstha,80,12000,,,,,,,,,,,,,379
9,27211006403,NAVI MUMBAI-URC1 (272110),THANE,"HIGH SCHOOL VIVEKANAND SANKUL, SANPADA ,  Sector No ,-4,Plot No -6, Vivekanand Sankaul sanpada Navi Mumbai ",Co-Ed,MU6431CFE,Commerce,English,Private Sanstha,80,3000,,,,,,,,,,,,,325
10,27211000314,NAVI MUMBAI-URC1 (272110),THANE,"HINDMATA JR. COLLEGE, DIGHA , Digha thane belapur road ",Co-Ed,MU6381CNE,Commerce,English,Private Sanstha,80,4500,,,,,,,,,,,,,
11,27211004711,NAVI MUMBAI-URC1 (272110),THANE,"ICLES'S MOTILAL JHUNJHUNWALA COLLEGE, VASHI , PLOT NO. 53 SECTOR 9A VASHI NAVI MUMBAI 400703.",Co-Ed,MU6423CNE,Commerce,English,Private Sanstha,240,5700,,,,,,,,,,,,,390
12,27211004711,NAVI MUMBAI-URC1 (272110),THANE,"ICLES'S MOTILAL JHUNJHUNWALA COLLEGE, VASHI , PLOT NO. 53 SECTOR 9A VASHI NAVI MUMBAI 400703.",Co-Ed,MU6423CGE,Commerce,English,Private Sanstha,240,240,,,,,,,,,,,,,358
13,27211002603,NAVI MUMBAI-URC1 (272110),THANE,"JIJAMATA CONVENT SCH SEC , PLOT NO 19 SECTOR 4A KOPARKHAIRANE  NAVI MUMBAI ",Co-Ed,MU6397CFE,Commerce,English,Private Sanstha,160,20000,,,,,,,,,,,,,
14,27211000913,NAVI MUMBAI-URC1 (272110),THANE,"JNAN VIKAS MANDAL JR. COLLEGE, AIROLI , PLOT NO.9, SECTOR 19, AIROLI, NAVI MUMBAI",Co-Ed,MU6384CFE,Commerce,English,Private Sanstha,240,25920,,,,,,,,,,,,,
15,27211005103,NAVI MUMBAI-URC1 (272110),THANE,"KARMAVEER BHAURAO  PATIL JR. COLLEGE, VASHI , Sector 15 A, Vashi Navi Mumbai. Taluka -Thane Dist - Thane, 400703",Co-Ed,MU6427CNE,Commerce,English,Private Sanstha,120,17248,,,,,,,,,,,,,
16,27211005103,NAVI MUMBAI-URC1 (272110),THANE,"KARMAVEER BHAURAO  PATIL JR. COLLEGE, VASHI , Sector 15 A, Vashi Navi Mumbai. Taluka -Thane Dist - Thane, 400703",Co-Ed,MU6427CGE,Commerce,English,Private Sanstha,480,240,,,,,,,,,,,,,
17,27211002203,NAVI MUMBAI-URC1 (272110),THANE,"MANAVSEVA HIGH SCH MAHAPE , At mahaphe mbp ",Co-Ed,MU6396CNE,Commerce,English,Private Sanstha,80,4500,,,,,,,,,,,,,
18,27211000803,NAVI MUMBAI-URC1 (272110),THANE,"MAZIDUN  HIGH  SCHOOL & JR  COLLEGE, SECTOR 1A,  AIROLI NAKA , AIROLI SECTOR 1A AIROLI NAKA NAVI MUMBAI 400708",Co-Ed,MU6382CFE,Commerce,English,Private Sanstha,80,10200,,,,,,,,,,,,,
19,27211003416,NAVI MUMBAI-URC1 (272110),THANE,"MAZIDUN JUNIOR COLLEGE, SEC-8A, AIROLI , MAZIDUN JUNIOR COLLEGE, BEHIND YASH PARADISE,SEC 8A, AIROLI, NAVI MUMBAI - 400708",Co-Ed,MU6409CFE,Commerce,English,Private Sanstha,80,8550,,,,,,,,,,,,,
20,27211003510,NAVI MUMBAI-URC1 (272110),THANE,"MOTHER INDIA MISSION JR. COLLEGE , SECTOR 17, PLOT NO 27, KOPAR KHAIRNE, NAVI MUMBAI",Co-Ed,MU6411CFE,Commerce,English,Private Sanstha,80,11000,,,,,,,,,,,,,
21,27211001604,NAVI MUMBAI-URC1 (272110),THANE,"MOTHER TERESSA HIGH SCH , PLOT NO 62 AND 64 DIVA GAON SEC 9 AIROLI",Co-Ed,MU6392CFE,Commerce,English,Private Sanstha,160,18000,,,,,,,,,,,,,
22,27211006905,NAVI MUMBAI-URC1 (272110),THANE,"N.R.BHAGAT SCHOOL ENG SEC&HSEC , PLOT NO. 7A, SECTOR -12, NEAR GAONDEVI MANDIR, NERUL (W) NAVI MUMBAI 400706",Co-Ed,MU6442CNE,Commerce,English,Private Sanstha,120,21100,,,,,,,,,,,,,356
23,27211004004,NAVI MUMBAI-URC1 (272110),THANE,"NAVI MUMBAI VIDYALAYA SEC. & JR. COLLEGE KOPARI SEC 26 , Sector 26, opposite Railway colony, Koprigoan,Vashi, Navi Mumbai",Co-Ed,MU6417CFE,Commerce,English,Private Sanstha,80,14530,,,,,,,,,,,,,270
24,27211003410,NAVI MUMBAI-URC1 (272110),THANE,"NEW BOMBAY CITY JR. COLLEGE , PLOT NO 8, SECTOR - 9, GHARONDA, GHANSOLI, NAVI MUMBAI",Co-Ed,MU6408CFE,Commerce,English,Private Sanstha,160,10000,,,,,,,,,,,,,
25,27210000015,NAVI MUMBAI-URC1 (272110),THANE,"OYSCER INTERNATIONAL SCHOOL AND JUNIOR COLLEGE , PLOT NO.32, SECTOR 8, BEHIND MC.DONALD RESTAURANT, KOPARKHAIRANE, NAVI MUMBAI",Co-Ed,MU12003CFE,Commerce,English,Private Sanstha,80,14500,,,,,,,,,,,,,
26,27211008204,NAVI MUMBAI-URC1 (272110),THANE,"PEOPLES EDU SOC HIGH SEC MAR , SEC- 01 CBD, BELAPUR, NAVI MUMBAI",Co-Ed,MU6458CNE,Commerce,English,Private Sanstha,80,64,,,,,,,,,,,,,322
27,27211008204,NAVI MUMBAI-URC1 (272110),THANE,"PEOPLES EDU SOC HIGH SEC MAR , SEC- 01 CBD, BELAPUR, NAVI MUMBAI",Co-Ed,MU6458CGE,Commerce,English,Private Sanstha,160,64,,,,,,,,,,,,,300
28,27211003205,NAVI MUMBAI-URC1 (272110),THANE,"R.F.NAIK VIDYALYA SEC & HSEC MARATHI , PLOT NO. 22/23 SECTOR 8 KOPARKHAIRNE, NAVI MUMBAI",Co-Ed,MU6404CNE,Commerce,English,Private Sanstha,160,8500,,,,,,,,,,,,,
29,27211003205,NAVI MUMBAI-URC1 (272110),THANE,"R.F.NAIK VIDYALYA SEC & HSEC MARATHI , PLOT NO. 22/23 SECTOR 8 KOPARKHAIRNE, NAVI MUMBAI",Co-Ed,MU6404CGE,Commerce,English,Private Sanstha,80,250,,,,,,,,,,,,,
30,27211001402,NAVI MUMBAI-URC1 (272110),THANE,"RADHIKABAI MEGHE SEC. VIDYALAYA(MAR.) & JR. COLLEGE , SECTOR 16 AIROLI NAVI MUMBAI",Co-Ed,MU6388CGE,Commerce,English,Private Sanstha,80,240,,,,,,,,,,,,,
31,27211001405,NAVI MUMBAI-URC1 (272110),THANE,"RADHIKABAI MEGHE VID SEC ENG , SECTOR 16 AIROLI NAVI MUMBAI",Co-Ed,MU6389CFE,Commerce,English,Private Sanstha,80,15000,,,,,,,,,,,,,
32,27211006709,NAVI MUMBAI-URC1 (272110),THANE,"S.S HIGH SCHOOL, SEC. ENG, NERUL , PLOT NO.9, SECTOR-44, SEAWOODS, NERUL, NAVI MUMBAI-400706",Co-Ed,MU6440CFE,Commerce,English,Private Sanstha,320,31000,,,,,,,,,,,,,293
33,27211005907,NAVI MUMBAI-URC1 (272110),THANE,"S.S.P. MANDAL'S DR. S.V. SAMANT JR. COLLEGE, TURBHE , T.K.Joshi Road Sector 22 Near NMMC Hospital, Turbhe Navi Mumbai",Co-Ed,MU6430CFE,Commerce,English,Private Sanstha,80,8625,,,,,,,,,,,,,
34,27211006503,NAVI MUMBAI-URC1 (272110),THANE,"SADHU VASWANI INTERNATIONAL SCHOOL & JUNIOR COLLEGE , PLOT NO 4, SECTOR NO 15, OFF PALM BEACH MARG, NEAR MORAJ RESIDENCEY, SANPADA, NAVI MUMABI 400705",Co-Ed,MU6435CFE,Commerce,English,Private Sanstha,160,23450,,,,,,,,,,,,,381
35,27211004703,NAVI MUMBAI-URC1 (272110),THANE,"SAINATH HINDI SCH SEC&HSEC , PLOT NO 16/17,  SECTOR 10A, VASHI, NAVI MUMBAI",Co-Ed,MU6421CFE,Commerce,English,Private Sanstha,160,16000,,,,,,,,,,,,,
36,27211004703,NAVI MUMBAI-URC1 (272110),THANE,"SAINATH HINDI SCH SEC&HSEC , PLOT NO 16/17,  SECTOR 10A, VASHI, NAVI MUMBAI",Co-Ed,MU6421CPE,Commerce,English,Private Sanstha,80,8560,,,,,,,,,,,,,
37,27211004703,NAVI MUMBAI-URC1 (272110),THANE,"SAINATH HINDI SCH SEC&HSEC , PLOT NO 16/17,  SECTOR 10A, VASHI, NAVI MUMBAI",Co-Ed,MU6421CGE,Commerce,English,Private Sanstha,240,300,,,,,,,,,,,,,
38,27211006507,NAVI MUMBAI-URC1 (272110),THANE,"SANPADA COLLEGE OF COMMERCE & TECHNOLOGY, SANPADA , PLOT -3 4 5 SECTOR -2 BEHIND SANPADA RAILWAY STATION SANPADA",Co-Ed,MU6438CFE,Commerce,English,Private Sanstha,600,17000,,,,,,,,,,,,,269
39,27211001705,NAVI MUMBAI-URC1 (272110),THANE,"SARSWATI VID ENG SEC , Sector-5, Airoli, Navi Mumbai. 400708",Co-Ed,MU6394CFE,Commerce,English,Private Sanstha,80,11200,,,,,,,,,,,,,
40,27211002102,NAVI MUMBAI-URC1 (272110),THANE,"SHETKARI SHIKSHAN SEC & HSEC , Shetkari Shikshan Sanstha Vidya Sankul, Ghansoli Gaon Ghansoli",Co-Ed,MU6395CNE,Commerce,English,Private Sanstha,80,6000,,,,,,,,,,,,,
41,27211002102,NAVI MUMBAI-URC1 (272110),THANE,"SHETKARI SHIKSHAN SEC & HSEC , Shetkari Shikshan Sanstha Vidya Sankul, Ghansoli Gaon Ghansoli",Co-Ed,MU6395CGE,Commerce,English,Private Sanstha,40,300,,,,,,,,,,,,,
42,27211006815,NAVI MUMBAI-URC1 (272110),THANE,"SHIRVANE VIDYALAYA & JR. COLLEGE, NERUL , PHASE II PLOT NO 12 SECTOR 2 NERUL ",Co-Ed,MU6441CFE,Commerce,English,Private Sanstha,240,6500,,,,,,,,,,,,,268
43,27211007406,NAVI MUMBAI-URC1 (272110),THANE,"SIES JUNIOR COLLEGE OF COMMERCE, NERUL , SRI CHANDRASHEKHAR SAEASWATI VIDYAPURAM PLOT-1-C SEC-V NERUL, NAVI MUMBAI",Co-Ed,MU6448CNE,Commerce,English,Private Sanstha,240,6450,,,,,,,,,,,,,449
44,27211001205,NAVI MUMBAI-URC1 (272110),THANE,"SMT. SUSHILADEVI DESHMUKH JR. COLLEGE, AIROLI , SECTOR-4, AIROLI, NAVI MUMBAI 400708",Co-Ed,MU6386CNE,Commerce,English,Private Sanstha,400,12500,,,,,,,,,,,,,
45,27211004802,NAVI MUMBAI-URC1 (272110),THANE,"ST. MARY'S SCH ENG SEC&HSEC , SECTOR 10 A VASHI",Co-Ed,MU6424CNE,Commerce,English,Private Sanstha,160,45230,,,,,,,,,,,,,404
46,27211007203,NAVI MUMBAI-URC1 (272110),THANE,"ST. XAVIER'S HIGH SCHOOL & JR. COLLEGE, NERUL , PLOT NO 11 SECTOR-3 , NERUL, NAVI MUMBAI",Co-Ed,MU6445CFE,Commerce,English,Private Sanstha,120,52650,,,,,,,,,,,,,365
